,binary_distance,braycurtis_distance,canberra_distance,chebyshev_distance,containment_distance,correlation_distance,cosine_distance,damerau_levenshtein_distance,dice_coefficient,dice_distance,edit_similarity,euclidean_distance,hamming_distance,interval_distance,jaccard_distance,jaro_distance,jaro_winkler_distance,kulsinski_distance,lcs_distance,lcs_similarity,levenshtein_distance,mahalanobis_distance,manhattan_distance,masi_distance,match_rating_comparison,matching_coefficient,matching_coefficient_pablo,matching_distance,minkowski_distance,needleman_wunsch_distance,needleman_wunsch_similarity,overlap_distance,qgram_distance,rogerstanimoto_distance,russellrao_distance,seuclidean_distance,smith_waterman_distance,sokalmichener_distance,sokalsneath_distance,sqeuclidean_distance,token_containment_distance,token_hamming_distance,yule_distance,id,class
0,0.0,0.16666666666666666,6.0,1.0,0.7209302325581395,0.5843952927031832,0.8645299348672512,51.0,0.4375,-0.05555555555555555,0.578512396694215,2.449489742783178,102.0,4.0,0.72,0.7373932353812495,0.7373932353812495,-0.11764705882352941,81.0,0.7043478260869565,51.0,4.242640687119285,6.0,0.9076,0.0,25.0,0.5882352941176471,0.3157894736842105,6.0,102.0,0.8869565217391305,0.4666666666666667,0.4375,-0.23529411764705882,0.0,3.4641016151377544,115.0,-0.23529411764705882,-0.26666666666666666,6.0,0.4117647058823529,0.3157894736842105,-0.0,1.0,1.0
1,0.0,0.46153846153846156,23.333333333333336,1.0,0.6822429906542056,1.0245336913315692,0.614182774643474,95.0,0.44,0.2692307692307692,0.46327683615819204,4.898979485566356,170.0,4.0,0.717948717948718,0.7487212347888471,0.7487212347888471,0.6122448979591837,105.0,0.6213017751479291,95.0,16.97056274847714,24.0,0.9069230769230769,0.0,39.0,0.5769230769230769,0.6857142857142857,24.0,190.0,1.124260355029586,0.4583333333333333,0.44,0.5714285714285714,0.45714285714285713,6.928203230275509,135.0,0.5714285714285714,0.5957446808510638,24.0,0.4230769230769231,0.6857142857142857,1.1162790697674418,2.0,1.0
2,0.0,0.14893617021276595,7.0,1.0,0.7450980392156863,0.5372259601210339,0.8763560920082658,40.0,0.8,-0.02127659574468085,0.7452229299363058,2.6457513110645907,150.0,25.0,0.3333333333333333,0.7743125891893774,0.7743125891893774,0.0,118.0,0.845878136200717,40.0,4.949747468305833,7.0,0.78,0.0,27.0,0.28,0.28,7.0,80.0,0.5734767025089605,0.9,0.8,-0.08333333333333333,0.04,3.7416573867739413,215.0,-0.08333333333333333,-0.09090909090909091,7.0,0.72,0.28,-0.2857142857142857,3.0,1.0
3,0.0,0.3584905660377358,19.0,1.0,0.8878504672897196,1.1199643587421741,0.6675919504799911,57.0,0.6538461538461539,0.2830188679245283,0.6686046511627908,4.358898943540674,107.0,4.0,0.5142857142857142,0.8313596826436657,0.8988158095861994,0.62,130.0,0.8074534161490684,57.0,13.435028842544403,19.0,0.8397142857142857,1.0,35.0,0.2962962962962963,0.5428571428571428,19.0,114.0,0.7080745341614907,0.68,0.6538461538461539,0.6,0.45714285714285713,6.164414002968976,204.0,0.6,0.6122448979591837,19.0,0.68,0.5428571428571428,1.4794520547945205,4.0,1.0
4,0.0,0.5,13.333333333333332,1.0,0.7,0.6233703085806697,0.6790997501017323,52.0,0.4166666666666667,0.0,0.48,3.7416573867739413,89.0,16.0,0.7368421052631579,0.6980727509991028,0.6980727509991028,0.2222222222222222,50.0,0.5988023952095809,52.0,9.899494936611665,14.0,0.9131578947368422,0.0,19.0,0.35714285714285715,0.7777777777777778,14.0,104.0,1.2455089820359282,0.5,0.4166666666666667,0.0,0.2222222222222222,5.291502622129181,71.0,0.0,0.0,14.0,0.5,0.7777777777777778,-0.3829787234042553,5.0,1.0
5,0.0,0.2631578947368421,9.142857142857142,1.0,0.8426966292134831,0.4441157018396933,0.8299410119600871,42.0,0.7058823529411765,-0.21052631578947367,0.6934306569343065,3.1622776601683795,128.0,0.0,0.45454545454545453,0.7734285412038506,0.7734285412038506,-0.7692307692307693,107.0,0.816793893129771,42.0,7.0710678118654755,10.0,0.8200000000000001,0.0,22.0,0.29411764705882354,0.47619047619047616,10.0,84.0,0.6412213740458016,0.7058823529411765,0.7058823529411765,-1.2307692307692308,-0.09523809523809523,4.47213595499958,195.0,-1.2307692307692308,-2.2857142857142856,10.0,0.7058823529411765,0.47619047619047616,0.19607843137254902,6.0,1.0
6,0.0,0.5,11.333333333333332,1.0,0.582089552238806,1.2879144609812179,0.5533985905294664,56.0,0.45454545454545453,0.4166666666666667,0.4042553191489362,3.4641016151377544,79.0,4.0,0.7058823529411765,0.7353336308656369,0.8412001785193821,0.7407407407407407,46.0,0.5508982035928144,56.0,8.48528137423857,12.0,0.9029411764705882,1.0,17.0,0.5833333333333334,0.7058823529411765,12.0,112.0,1.341317365269461,0.5,0.45454545454545453,0.7407407407407407,0.5882352941176471,4.898979485566356,60.0,0.7407407407407407,0.7407407407407407,12.0,0.4166666666666667,0.7058823529411765,2.0,7.0,1.0
7,0.0,0.5263157894736842,19.333333333333332,1.0,0.5783132530120482,1.4111251406678094,0.5006261743217589,81.0,0.41025641025641024,0.47368421052631576,0.3017241379310345,4.47213595499958,105.0,1.0,0.7419354838709677,0.729735262171614,0.729735262171614,0.782608695652174,59.0,0.5291479820627801,81.0,14.142135623730951,20.0,0.9148387096774193,0.0,31.0,0.55,0.7142857142857143,20.0,162.0,1.452914798206278,0.42105263157894735,0.41025641025641024,0.782608695652174,0.6428571428571429,6.324555320336759,77.0,0.782608695652174,0.782608695652174,20.0,0.42105263157894735,0.7142857142857143,2.0,8.0,1.0
8,0.0,0.4222222222222222,18.0,2.0,0.8068181818181818,1.1528445406338004,0.6024144966768741,81.0,0.5909090909090909,0.3333333333333333,0.5397727272727273,4.58257569495584,155.0,64.0,0.5806451612903226,0.7244326018808778,0.7244326018808778,0.6666666666666666,105.0,0.6976744186046512,81.0,14.849242404917497,19.0,0.8616129032258064,0.0,31.0,0.19230769230769232,0.6,19.0,162.0,1.0764119601328905,0.7222222222222222,0.5909090909090909,0.6666666666666666,0.5,6.0,149.0,0.6666666666666666,0.6666666666666666,21.0,0.7222222222222222,0.6,2.0,9.0,1.0
9,0.0,0.5882352941176471,20.0,1.0,0.4878048780487805,1.5882352941176472,0.4117647058823529,52.0,0.375,0.5882352941176471,0.48,4.47213595499958,73.0,4.0,0.7692307692307693,0.6841819396716304,0.6841819396716304,0.851063829787234,61.0,0.6192893401015229,52.0,14.142135623730951,20.0,0.9238461538461539,1.0,26.0,0.6470588235294118,0.7407407407407407,20.0,104.0,1.0558375634517767,0.4,0.375,0.851063829787234,0.7407407407407407,6.324555320336759,73.0,0.851063829787234,0.851063829787234,20.0,0.35294117647058826,0.7407407407407407,2.0,10.0,1.0
