@relation paraphrase

@attribute correlation_distance numeric
@attribute hamming_distance numeric
@attribute cosine_distance numeric
@attribute matching_coefficient_pablo  numeric
@attribute containment_distance numeric
@attribute minkowski_distance numeric
@attribute match_rating_comparison {True, False}
@attribute smith_waterman_distance numeric
@attribute chebyshev_distance numeric
@attribute jaro_winkler_distance numeric
@attribute dice_distance numeric
@attribute russellrao_distance numeric
@attribute manhattan_distance numeric
@attribute damerau_levenshtein_distance numeric
@attribute needleman_wunsch_similarity numeric
@attribute yule_distance numeric
@attribute braycurtis_distance numeric
@attribute dice_coefficient numeric
@attribute interval_distance numeric
@attribute binary_distance numeric
@attribute seuclidean_distance numeric
@attribute rogerstanimoto_distance numeric
@attribute sokalsneath_distance numeric
@attribute sqeuclidean_distance numeric
@attribute mahalanobis_distance numeric
@attribute needleman_wunsch_distance numeric
@attribute token_containment_distance numeric
@attribute overlap_distance numeric
@attribute token_hamming_distance numeric
@attribute kulsinski_distance numeric
@attribute masi_distance numeric
@attribute matching_distance numeric
@attribute edit_similarity numeric
@attribute sokalmichener_distance numeric
@attribute matching_coefficient numeric
@attribute jaccard_distance numeric
@attribute levenshtein_distance numeric
@attribute lcs_similarity numeric
@attribute euclidean_distance numeric
@attribute jaro_distance numeric
@attribute canberra_distance numeric
@attribute lcs_distance numeric
@attribute class {yes, no}

@data
1.4846845033954357, 284, 0.8194049965916423, 0.4523809523809524, 0.6285714285714286, 69.0, True, 28.0, 3.0, 0.7021232622810377, 0.7283950617283951, 0.8135593220338984, 69.0, 203, 1.6700610997963339, 2.3492063492063493, 0.8518518518518519, 0.2318840579710145, 225.0, 0.0, 0.0, 1.0, 0.9147286821705426, 101.0, 71.4177848998413, 410.0, 0.2962962962962963, 0.2962962962962963, 0.9491525423728814, 0.9067796610169492, 0.9567213114754098, 1.0, 0.30508474576271183, 1.0, 61.0, 0.8688524590163934, 205, 0.4276985743380855, 10.04987562112089, 0.7021232622810377, 54.33333333333333, 105, no
0.819779565146817, 393, 0.5308080714348116, 0.5689655172413793, 0.6023391812865497, 97.0, True, 27.0, 3.0, 0.7208810096689627, 0.12396694214876033, 0.4044943820224719, 97.0, 315, 1.7331499312242091, -0.10198300283286119, 0.8016528925619835, 0.18, 256.0, 0.0, 0.0, 0.28846153846153844, 0.3614457831325301, 127.0, 89.80256121069154, 630.0, 0.21428571428571427, 0.21428571428571427, 0.9662921348314607, 0.49038461538461536, 0.9673626373626374, 0.16853932584269662, 0.23728813559322037, 0.28846153846153844, 91.0, 0.9010989010989011, 315, 0.3768913342503439, 11.269427669584644, 0.7208810096689627, 82.83076923076923, 137, no
1.4013686331914368, 504, 0.7700083156647006, 0.7037037037037037, 0.5925925925925926, 107.0, True, 35.0, 5.0, 0.6754119929873923, 0.6535433070866141, 0.7555555555555555, 107.0, 384, 1.9009900990099011, 2.533980582524272, 0.84251968503937, 0.19607843137254902, 36.0, 0.0, 0.0, 0.9595375722543352, 0.8829787234042553, 167.0, 118.08683245815344, 768.0, 0.20833333333333334, 0.20833333333333334, 0.9666666666666667, 0.8728323699421965, 0.9641304347826087, 0.9222222222222223, 0.26295585412667943, 0.9595375722543352, 92.0, 0.8913043478260869, 384, 0.3985148514851485, 12.922847983320086, 0.6754119929873923, 83.38095238095238, 161, no
0.6674976926009486, 450, 0.4719959076641884, 0.5434782608695652, 0.6666666666666666, 96.0, True, 66.0, 9.0, 0.7225326476834404, -0.6461538461538462, -0.5735294117647058, 96.0, 319, 1.6243654822335025, 0.5034965034965035, 0.7384615384615385, 0.2891566265060241, 81.0, 0.0, 0.0, 10.5, 2.7540983606557377, 254.0, 179.60512242138307, 640.0, 0.32432432432432434, 0.32432432432432434, 0.8970588235294118, 7.6875, 0.944225352112676, -1.2352941176470589, 0.3263157894736842, 10.5, 71.0, 0.8309859154929577, 320, 0.4619289340101523, 15.937377450509228, 0.7225326476834404, 59.0952380952381, 182, no
1.129800281264512, 309, 0.6651062166091372, 0.6511627906976745, 0.5655172413793104, 79.0, True, 32.0, 3.0, 0.7122130742636082, 0.43157894736842106, 0.5909090909090909, 79.0, 250, 1.6272285251215559, 2.36734693877551, 0.8315789473684211, 0.15584415584415584, 81.0, 0.0, 11.489125293076057, 0.7663551401869159, 0.7522935779816514, 111.0, 78.48885271170677, 502.0, 0.17647058823529413, 0.17647058823529413, 1.0, 0.7476635514018691, 0.972112676056338, 0.6212121212121212, 0.25074626865671645, 0.7663551401869159, 71.0, 0.9154929577464789, 251, 0.4051863857374392, 10.535653752852738, 0.7122130742636082, 62.77619047619048, 125, no
1.3258922331592453, 477, 0.7294766660493978, 0.4307692307692308, 0.7033898305084746, 99.0, True, 43.0, 4.0, 0.6474497497491908, 0.6470588235294118, 0.7692307692307693, 99.0, 366, 2.0504201680672272, 2.3078534031413613, 0.8319327731092437, 0.21153846153846154, 676.0, 0.0, 0.0, 0.9166666666666666, 0.88, 135.0, 95.45941546018392, 732.0, 0.28205128205128205, 0.28205128205128205, 0.9560439560439561, 0.875, 0.9609677419354838, 0.8461538461538461, 0.2620967741935484, 0.9166666666666666, 93.0, 0.8817204301075269, 366, 0.3865546218487395, 11.61895003862225, 0.6474497497491908, 83.86666666666667, 138, no
1.464581340786095, 360, 0.787233290066609, 0.8163265306122449, 0.5864197530864198, 94.0, True, 30.0, 3.0, 0.7493201845192692, 0.7090909090909091, 0.8160919540229885, 94.0, 301, 1.5947019867549668, 2.1594306049822065, 0.8545454545454545, 0.16494845360824742, 1.0, 0.0, 0.0, 0.9454545454545454, 0.9069767441860465, 120.0, 84.8528137423857, 602.0, 0.16666666666666666, 0.16666666666666666, 0.9655172413793104, 0.9030303030303031, 0.9703370786516854, 0.896551724137931, 0.20789473684210524, 0.9454545454545454, 89.0, 0.9101123595505618, 301, 0.3973509933774835, 10.954451150103322, 0.7493201845192692, 81.86666666666667, 150, no
1.1973002287948808, 472, 0.7301773258479964, 0.6027397260273972, 0.6045197740112994, 133.0, True, 30.0, 6.0, 0.7384723919127146, 0.5096774193548387, 0.6607142857142857, 133.0, 367, 1.5921908893709329, 2.2773722627737225, 0.8580645161290322, 0.171875, 324.0, 0.0, 0.0, 0.8272251308900523, 0.8061224489795918, 229.0, 161.92745289171938, 734.0, 0.2, 0.2, 0.9732142857142857, 0.8010471204188482, 0.968974358974359, 0.7053571428571429, 0.26008064516129037, 0.8272251308900523, 117.0, 0.905982905982906, 367, 0.41865509761388287, 15.132745950421556, 0.7384723919127146, 105.55, 193, no
1.2065525128484684, 247, 0.6815592765018543, 0.8181818181818182, 0.5042016806722689, 63.0, True, 34.0, 3.0, 0.7242020945466011, 0.49333333333333335, 0.6346153846153846, 63.0, 183, 1.6158940397350994, 2.723809523809524, 0.84, 0.2, 36.0, 0.0, 0.0, 0.8314606741573034, 0.7956989247311828, 91.0, 64.34671708797582, 366.0, 0.18181818181818182, 0.2222222222222222, 0.9807692307692307, 0.7865168539325843, 0.9633333333333334, 0.7115384615384616, 0.30681818181818177, 0.8314606741573034, 54.0, 0.8888888888888888, 183, 0.4326710816777042, 9.539392014169456, 0.7242020945466011, 49.43333333333334, 98, no
0.9916140607871107, 244, 0.5995563564420417, 0.6666666666666666, 0.5966386554621849, 74.0, True, 41.0, 3.0, 0.7383221353809589, 0.2608695652173913, 0.4603174603174603, 74.0, 202, 1.5378787878787878, 0.9137380191693291, 0.8043478260869565, 0.19444444444444445, 36.0, 0.0, 0.0, 0.5517241379310345, 0.5853658536585366, 102.0, 72.12489168102785, 406.0, 0.21212121212121213, 0.21212121212121213, 0.9841269841269841, 0.6091954022988506, 0.9644615384615385, 0.38095238095238093, 0.23106060606060608, 0.5517241379310345, 65.0, 0.8923076923076924, 203, 0.4393939393939394, 10.099504938362077, 0.7383221353809589, 59.27777777777777, 116, no
